"err.test","acc","bacc","F1","nzs","runtime"
"Lasso","0.08 (0.01)","0.94 (0.01)","0.92 (0.01)","0.9 (0.01)","33.38 (1.28)","0 (0)"
"Forward stepwise","0.13 (0.01)","0.87 (0.01)","0.84 (0.01)","0.77 (0.02)","4.84 (0.61)","0.11 (0.01)"
"Relaxed lasso","0.08 (0.01)","0.94 (0.01)","0.93 (0.01)","0.91 (0.01)","24.63 (1.33)","0 (0)"
"LS-CRI","0.16 (0.01)","0.89 (0.01)","0.86 (0.01)","0.81 (0.01)","13.51 (0.96)","0.22 (0.01)"
"LS-CRI.Z","0.12 (0.02)","0.92 (0.01)","0.9 (0.01)","0.88 (0.01)","15.35 (1.04)","0.01 (0)"
"LS-CAR","0.12 (0.02)","0.92 (0.01)","0.9 (0.01)","0.88 (0.01)","15.17 (1.03)","0.02 (0)"
"LS-SIS","0.13 (0.01)","0.89 (0.01)","0.86 (0.01)","0.82 (0.01)","15.75 (1.08)","0 (0)"
"Ridge-CRI","0.09 (0.01)","0.92 (0.01)","0.9 (0.01)","0.88 (0.01)","30.37 (1.44)","0.29 (0.01)"
"Ridge-CRI.Z","0.09 (0.01)","0.94 (0.01)","0.93 (0.01)","0.91 (0.01)","25.17 (1.4)","0.07 (0)"
"Ridge-CAR","0.1 (0.01)","0.94 (0.01)","0.93 (0.01)","0.91 (0.01)","25.34 (1.43)","0.08 (0)"
"Ridge-SIS","0.08 (0.01)","0.93 (0.01)","0.91 (0.01)","0.89 (0.01)","32.02 (1.33)","0.06 (0)"
