"","err.test","acc","bacc","F1","nzs","runtime"
"Lasso","0.18 (0.06)","0.85 (0.01)","0.79 (0.01)","0.9 (0)","36.03 (1.78)","35.1 (1.47)"
"Forward stepwise","0.16 (0.01)","0.81 (0.01)","0.75 (0.01)","0.86 (0.01)","3.72 (0.51)","1958.3 (8.29)"
"Relaxed lasso","0.42 (0.28)","0.83 (0.01)","0.78 (0.01)","0.88 (0.01)","21.97 (1.85)","16.9 (1.16)"
"SCAD","0.54 (0.36)","0.85 (0.01)","0.79 (0.01)","0.89 (0.01)","29.76 (1.11)","1749.5 (7.52)"
"MCP","0.15 (0.01)","0.82 (0.01)","0.76 (0.01)","0.87 (0.01)","19.02 (1.36)","1734.2 (18.08)"
"LS-CRI","0.16 (0.01)","0.83 (0.01)","0.78 (0.01)","0.89 (0.01)","13.86 (1.1)","8845.8 (56.67)"
"LS-CRI.Z","0.16 (0.01)","0.82 (0.01)","0.77 (0.01)","0.87 (0.01)","16.8 (1.17)","156.8 (3.11)"
"LS-CAR","0.16 (0.01)","0.82 (0.01)","0.77 (0.01)","0.87 (0.01)","16.78 (1.17)","227 (3.45)"
"LS-SIS","0.14 (0)","0.83 (0.01)","0.79 (0.01)","0.88 (0.01)","9.85 (0.87)","21.4 (1.21)"
"Ridge-CRI","0.12 (0)","0.86 (0.01)","0.81 (0.01)","0.9 (0.01)","30.86 (1.61)","9422.9 (48.89)"
"Ridge-CRI.Z","0.12 (0.01)","0.85 (0.01)","0.81 (0.01)","0.9 (0)","31.3 (1.68)","737.1 (6.17)"
"Ridge-CAR","0.12 (0.01)","0.85 (0.01)","0.81 (0.01)","0.9 (0)","31.45 (1.68)","789.5 (5.9)"
"Ridge-SIS","0.12 (0)","0.86 (0.01)","0.81 (0.01)","0.9 (0.01)","23.47 (1.76)","586.1 (5.69)"
